"Symbol","Date","Close","52Hi","MktCap","Delta ErnQ1","Delta RevQ1","RevQ1","ErnQ1","Zax","Ind","Delta ErnQ2","Delta ErnF1","Delta EarnF2","PE F1","PE Ind","P/S","ESP","Avg Vol","Short"
"MRK","2/1/18","56.14","66.80","152600","5.49","3.04","10420","0.94","3","80","3.41","4.28","3.51","13.78","17.4","3.85","0.65","10330910","1.47"
"MRO","2/14/18","17.67","18.27","12850","101.11","-9.06","1260","0.00","3","42","203.57","61.62","95.54","N/A","58","3.09","-1,300.09","9829601","2.07"
"MRVL","3/1/18","22.89","24.22","10630","42.05","7.04","611.65","0.31","1","59","23.15","88.22","12.46","18.72","-50.7","4.6","-0.80","5115371","1.85"
"MS","1/16/18","52.33","54.25","95190","-3.50","1.67","9170","0.78","2","38","19.33","22.70","13.84","12.80","24.8","2.22","0.43","6709465","1.46"
"MSFT","1/25/18","86.35","87.50","653350","3.53","8.74","28340","0.86","3","202","7.76","2.21","10.98","25.41","56.3","7.05","2.41","19695364","2.26"
"MSI","2/1/18","89.86","95.30","14940","-0.08","3.23","1940","2.03","2","100","5.35","9.52","5.91","15.87","13.1","2.33","-1.40","954125","10.37"
"MT","2/9/18","34.91","34.08","31660","66.67","23.65","17470","0.80","3","183","N/A","170.31","-16.70","10.51","15.2","0.53","0.00","2730806","1.96"
"MTG","1/18/18","14.13","15.64","5450","-0.89","3.54","276.00","0.28","1","107","-1.61","22.47","3.92","11.32","24.3","4.98","-1.50","2584952","1.65"
"MU","3/22/18","44.98","49.89","48880","185.88","51.10","7020","2.57","1","1","54.22","98.13","-9.70","4.44","4.5","2.18","0.00","36450236","1.63"
"MYL","3/7/18","43.14","45.87","21460","-10.72","0.50","3280","1.40","3","218","24.73","-6.70","15.64","8.17","-26.6","1.94","-5.12","6159683","4.61"
"NBR","2/28/18","7.05","18.40","1600","-7.27","31.70","710.12","-0.32","3","107","49.74","13.01","53.89","N/A","-11.2","0.91","-4.10","9755414","0.05"
"NE","2/8/18","4.90","7.80","957.82","-119.39","-33.69","271.97","-0.33","3","107","-125.21","-2262.00","-24.54","N/A","-11.2","0.87","-1.29","6536665","5.61"
"NEM","2/20/18","37.84","39.63","19150","10.30","7.47","1920","0.36","1","57","24.00","-10.68","-10.29","29.58","26.4","2.83","-4.76","4408935","0.08"
"NFLX","1/22/18","205.05","201.65","82030","176.47","32.40","3280","0.41","3","235","41.95","192.88","83.37","87.06","16.1","7.99","-1.74","5249863","3.75"
"NKE","3/20/18","63.48","65.19","105280","-20.98","4.39","8800","0.54","3","96","14.36","-10.31","15.84","28.20","17.7","2.98","-3.66","8929042","3.34"
"NLY","2/21/18","11.46","12.73","14100","-2.22","N/A","N/A","0.29","3","178","-6.45","2.28","2.51","9.51","10.3","5.3","2.27","7140561","2.16"
"NOK","2/1/18","4.83","6.65","26920","-19.23","2.24","7320","0.11","3","100","33.33","38.54","-18.05","17.47","13.1","1.09","-14.29","11314736","1.91"
"NOV","2/5/18","37.85","41.90","12320","71.79","14.42","1940","-0.04","3","185","98.24","51.56","178.16","115.72","-34","1.99","-6.36","2593474","9.67"
"NQ","4/5/18","3.99","4.68","403.58","N/A","N/A","N/A","N/A","N/A","206","N/A","N/A","N/A","N/A","N/A","2.83","0.00","1049836","3.67"
"NTAP","2/21/18","57.07","58.99","15310","9.15","6.04","1490","0.90","1","32","14.86","21.11","8.50","16.81","16.5","2.63","0.00","2076192","5.99"
"NUE","1/30/18","67.39","66.55","18930","40.86","25.55","4970","0.70","4","183","3.60","43.10","21.88","15.14","15.2","1.11","-12.44","3028701","1.75"
"NVDA","2/8/18","212.47","199.50","113000","15.94","22.35","2660","1.15","1","4","13.46","62.99","11.41","47.59","23.4","13.46","1.93","9292266","1.01"
"ODP","3/7/18","3.50","6.26","1730","-31.82","-6.76","2540","0.08","3","28","12.50","-4.89","6.86","7.61","19","0.18","6.67","3645987","3.23"
"ORCL","3/21/18","47.71","53.14","209470","5.07","5.52","9790","0.73","3","202","1.56","7.39","7.76","15.85","56.3","4.96","-0.05","17133732","2.45"
"OXY","2/13/18","75.00","74.30","53990","334.18","26.54","3580","0.30","1","42","240.00","177.56","109.25","45.13","58","4.52","-18.70","3346387","1.98"
"P","N/A","4.97","13.70","1240","58.46","-4.50","374.93","-0.05","3","206","3.57","-25.49","59.38","N/A","-45.5","0.83","0.00","8415441","5.49"
"PBR","3/20/18","10.97","11.71","61830","53.97","18.64","25390","0.32","2","21","25.00","77.78","57.57","9.79","14.8","0.81","-5.67","12441586","0.24"
"PEP","2/13/18","117.75","120.57","167840","8.54","-0.33","19450","1.30","4","224","7.45","7.65","7.31","21.07","98.6","2.64","-0.38","3084372","2.54"
"PFE","1/30/18","36.71","37.35","217390","18.09","0.33","13670","0.56","3","80","-1.45","7.96","5.71","13.30","17.4","4.14","-0.90","13799274","3.49"
"PG","1/19/18","90.54","94.67","230860","5.65","2.78","17320","1.14","3","84","6.83","6.57","6.74","21.70","22.6","3.53","0.35","5630807","3.68"
"PHM","1/30/18","34.28","34.60","9720","25.54","11.84","2790","0.84","4","165","48.39","18.44","37.16","12.15","16.5","1.19","7.00","3508983","3.07"
"PLUG","3/8/18","2.42","3.21","530.05","25.00","10.20","35.90","-0.06","3","208","55.77","-113.33","72.27","N/A","16.4","4.19","16.67","2731812","6.1"
"PM","2/1/18","104.26","123.55","167250","23.48","19.75","8350","1.36","4","239","17.35","5.93","12.03","19.63","13.8","2.14","1.36","4077251","1.72"
"PNC","1/12/18","144.69","147.28","68030","12.18","7.80","4180","2.21","2","32","9.86","15.55","10.75","15.48","16.5","3.93","0.34","1573249","3.74"
"POT","N/A","20.65","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2"
"PRU","2/14/18","115.49","118.17","48540","3.33","-9.01","12210","2.54","3","107","2.03","14.33","10.19","10.04","24.3","0.86","-0.18","1415176","2.2"
"PYPL","1/25/18","76.75","79.39","89250","23.94","21.68","3630","0.52","3","100","22.87","24.73","20.56","32.74","16.1","7.2","1.18","6087619","2.12"
"QCOM","1/24/18","65.94","69.28","95380","-24.01","-0.86","5950","0.90","3","100","-34.11","-16.15","7.20","18.17","13.1","4.33","-0.47","6633973","1.48"
"RAD","1/3/18","2.11","8.77","1910","-200.00","-4.37","7740","-0.02","3","75","N/A","-266.67","135.00","N/A","7.9","0.07","0.00","17078768","8.34"
"RCL","1/25/18","123.58","133.75","26050","-2.62","3.36","1970","1.20","3","206","13.94","21.60","15.39","14.11","45","2.97","0.46","1080832","2.43"
"RF","1/19/18","17.40","17.58","19620","14.13","5.14","1450","0.26","2","21","14.08","14.03","16.00","15.09","17.2","3.36","1.17","8320396","1.88"
"RIG","2/22/18","11.17","16.16","3720","-140.21","-33.83","644.50","-0.25","3","107","-2100.00","-119.52","-121.37","N/A","-11.2","1.29","10.52","9184775","6.25"
"RMBS","1/29/18","14.40","15.50","1610","20.83","3.70","101.17","0.19","3","100","-2.94","15.00","2.42","20.22","39.4","4.04","0.00","891664","6.79"
"RTN","1/25/18","188.30","192.41","54570","7.62","9.55","6830","2.02","3","163","7.17","0.75","8.38","22.59","-14.1","2.17","-0.16","1009113","0"
"S","1/30/18","5.90","9.65","22520","67.71","-3.99","8210","-0.04","3","224","70.54","92.65","-54.82","N/A","-36.7","0.72","43.23","15684400","5.09"
"SBUX","1/25/18","58.71","64.87","84940","9.62","7.36","6160","0.57","3","229","9.33","12.10","13.53","24.95","21.2","3.66","-0.88","7251694","2.29"
"SHLD","3/8/18","3.76","14.32","416.46","N/A","N/A","N/A","N/A","N/A","92","N/A","N/A","N/A","N/A","N/A","0.02","0.00","1230855","8.98"
"N/A","2/28/18","109.69","119.20","7120","27.78","55.18","486.36","0.81","4","96","N/A","95.14","59.96","24.12","42.3","5.56","0.00","673652","0.69"
"SIRI","2/1/18","5.20","5.89","26010","10.72","6.75","1390","0.04","4","235","0.00","24.17","8.05","25.89","16.1","4.5","1.61","19446148","12.35"
"SLB","1/19/18","71.33","87.84","86400","65.68","14.53","8140.000000000001","0.45","3","161","77.20","28.77","46.26","32.38","36.7","3.28","-2.98","8045281","2.06"
"SLM","1/17/18","11.30","13.20","4750","23.33","20.72","296.28","0.19","3","107","1.59","35.85","19.79","13.15","9.5","3.6","0.00","2660341","5.35"
"SLW","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SO","2/28/18","46.90","53.51","51710","94.45","N/A","N/A","0.47","3","218","8.33","2.25","1.91","15.66","18.7","2.1","-1.43","5183675","5.32"
"SPG","1/30/18","171.62","188.10","105970","89.90","0.46","1430","3.11","3","228","87.84","79.30","8.46","14.19","17.3","19.92","0.24","1519766","8.69"
"SPWR","2/21/18","8.83","11.70","1250","125.00","-23.63","838.00","0.16","3","16","78.70","2.17","96.67","N/A","8.5","0.56","-68.75","2625365","3.9"
"SRPT","2/27/18","58.52","58.47","3470","77.50","929.21","55.78","-0.36","3","160","57.53","84.89","-17.01","N/A","-8.8","36.65","26.88","1342242","5.09"
"STI","1/19/18","65.67","66.62","30490","17.43","6.60","2300","1.06","2","32","14.51","14.53","10.20","14.48","16.5","3.23","0.61","3574101","0"
"STT","1/23/18","97.42","100.90","36330","14.45","17.58","2970","1.69","2","32","23.76","18.67","12.39","13.76","16.5","3.2","-0.11","1291632","2.39"
"STX","1/23/18","42.85","50.96","12130","-16.67","-5.40","2740","1.15","2","32","-7.73","-3.03","7.63","10.75","16.5","1.17","-1.74","3228349","7.28"
"SU","2/14/18","37.65","37.48","56610","46.90","5.68","6450","0.43","3","107","-37.84","1784.38","-10.65","31.10","18.8","2.6","38.50","2229820","2.15"
"SWN","2/22/18","5.91","10.45","2710","69.31","25.27","856.82","0.14","3","69","61.11","4500.00","92.61","6.97","-8.3","0.98","-16.94","18416622","2.38"
"SYMC","2/7/18","28.91","34.20","17820","37.05","21.50","1260","0.44","3","202","77.38","42.31","13.99","17.22","56.3","3.92","-1.95","4372432","4.08"
"T","1/31/18","37.65","43.00","231690","-1.36","-1.61","41170","0.65","4","224","1.11","2.87","1.20","13.04","-36.7","1.47","1.38","25792604","4.86"
"TECK","2/21/18","26.61","26.99","13360","-28.93","-13.82","2300","0.86","3","161","13.64","150.15","-23.92","9.90","-3.6","1.63","12.02","3433834","2.79"
"TEVA","2/12/18","19.13","38.31","17580","-39.76","-18.20","5310","0.83","3","218","-29.25","-24.88","-20.46","6.22","-26.6","0.83","1.25","26158916","3.33"
"TGT","2/27/18","67.17","74.24","33670","-17.17","6.31","22000","1.20","3","92","-7.23","-9.68","-6.52","14.95","18.5","0.53","2.96","5024215","7.48"
"TIF","3/16/18","107.03","106.59","12350","4.83","3.39","1270","1.52","3","42","6.22","6.28","8.07","26.70","22","3.25","0.66","1177372","4.63"
"TM","2/5/18","130.13","128.44","186770","-0.68","2.85","66790","2.90","2","104","15.95","7.94","0.75","10.72","10.6","0.74","0.00","106561","0"
"TMUS","2/13/18","63.61","68.88","52050","-26.05","6.60","10850","0.33","3","224","30.62","56.84","13.73","23.31","-36.7","1.33","17.20","3495825","4.27"
"TSLA","2/28/18","317.25","389.61","56790","-323.39","47.25","3360","-2.92","3","80","-63.91","-202.74","58.52","N/A","9.4","5.01","32.22","4973007","4.7"
"TSO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TWLO","2/6/18","25.69","34.95","2340","N/A","26.30","103.51","-0.06","4","100","-30.00","-41.41","53.59","N/A","16.1","6.38","14.89","1523334","8.29"
"TWTR","2/8/18","24.45","25.56","16760","-9.38","-3.76","690.26","0.15","3","100","-18.18","-29.42","10.53","55.12","16.1","7.5","-6.90","17385502","1.55"
"TWX","2/14/18","91.50","103.90","69800","15.90","7.38","8470","1.45","3","107","4.82","5.80","4.32","14.21","-4.2","2.34","0.00","4714540","1.23"
"TXN","1/23/18","108.43","105.62","98800","23.69","9.51","3740","1.09","2","4","17.67","30.54","4.75","23.11","23.4","7.11","0.75","4246714","2.52"
"TXT","1/31/18","57.63","57.71","14320","-4.46","5.64","4040","0.76","4","236","14.13","-5.67","13.40","20.45","18.2","1.08","0.00","1034183","3.71"
"UAA","1/30/18","15.72","31.06","6100","-97.10","-0.14","1310","0.01","3","34","-269.23","-66.15","11.53","68.65","-4.2","1.35","49.99","5209296","N/A"
"UAL","1/23/18","68.49","83.04","18700","-43.70","2.20","9250","1.00","3","84","-52.00","-26.47","-0.98","10.95","11.7","0.55","3.37","3388183","1.75"
"UNH","1/16/18","223.48","231.77","214420","18.53","8.42","51520","2.50","3","11","6.03","24.11","8.19","20.46","-0.2","1.09","0.56","2353266","2.51"
"UNP","1/25/18","136.52","136.32","101680","10.50","4.05","5380","1.54","4","107","8.52","14.07","11.53","21.05","20.7","5.1","-1.91","4230804","2.71"
"UPS","1/30/18","126.41","125.16","100680","2.29","7.36","18180","1.67","3","247","5.93","4.44","7.43","19.17","-15.7","1.67","-0.84","2557599","3.01"
"USB","1/17/18","54.56","56.61","89860","6.32","4.02","5600","0.87","3","32","6.71","5.67","8.67","14.52","16.5","3.8","-0.21","4447644","2.4"
"UTX","1/24/18","130.02","128.88","98830","0.21","4.98","15390","1.56","3","100","-1.01","0.06","3.72","18.68","28.3","1.74","-0.53","2763109","4.19"
"V","2/1/18","115.65","115.08","233930","12.94","7.60","4800","0.97","3","164","10.80","16.94","16.14","28.14","19.8","12.92","-0.39","7025270","0"
"VALE","2/22/18","12.87","12.80","56820","-57.08","N/A","N/A","0.23","3","107","-58.54","25.78","-7.52","11.44","10.2","1.93","16.48","18383494","3.47"
"VIAV","1/30/18","8.98","11.89","1970","-28.00","-9.54","186.80","0.07","3","107","4.44","-4.00","27.08","23.33","13.1","2.56","0.00","1845187","4.12"
"VLO","2/1/18","93.29","93.18","38280","52.16","9.50","22680","1.23","3","168","77.35","34.27","29.71","14.32","2.8","0.46","0.00","2683122","4.66"
"VOD","N/A","31.99","32.24","83410","N/A","N/A","N/A","N/A","1","192","N/A","N/A","N/A","25.03","N/A","N/A","0.00","2119698","3.48"
"VRSN","2/8/18","110.90","118.28","11250","5.07","3.03","294.95","0.97","3","202","5.21","9.97","6.47","25.90","-4.3","9.34","0.00","722428","17.82"
"VRX","2/27/18","23.01","22.81","6860","-23.02","-10.00","2160","0.97","3","107","-69.11","-29.67","-8.69","6.20","-8","0.85","-15.46","21645496","2.29"
"VVUS","3/14/18","0.53","1.38","58.27","-124.07","N/A","N/A","-0.13","3","160","-1000.00","-245.45","N/A","N/A","-8.8","0.41","0.00","833362","6.63"
"VZ","1/23/18","52.42","54.83","213520","2.57","2.65","33200","0.88","3","224","0.84","-2.33","2.70","13.83","-36.7","1.76","-0.43","13034996","1.9"
"WBA","1/4/18","75.51","88.00","69680","15.13","6.41","30330","1.27","2","75","9.49","8.59","9.24","13.53","7.9","0.63","3.97","5104707","N/A"
"WDC","1/24/18","82.67","95.77","24440","63.85","8.07","5280","3.77","1","32","28.79","45.59","-9.03","6.08","16.5","1.23","1.31","3416071","2.59"
"WFC","1/12/18","61.56","62.24","291610","2.14","3.23","22280","1.05","3","32","-0.67","-1.72","9.55","13.98","16.5","3.13","2.03","16811246","0.16"
"WFM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WFT","2/7/18","3.67","7.09","3320","36.72","6.32","1490","-0.20","4","185","48.26","21.00","55.09","N/A","-34","0.61","0.00","18823712","5.92"
"WHR","1/25/18","168.84","202.99","11780","-7.39","3.18","5840","4.01","4","226","31.60","-2.72","12.40","10.93","27.1","0.57","-1.50","608607","3.05"
"WIN","3/7/18","1.87","8.35","395.07","24.93","13.70","1490","-0.38","3","224","44.94","-122.65","37.56","N/A","-36.7","0.06","5.97","2893552","8.09"
"WLL","2/20/18","27.99","53.48","2029.9999999999998","67.65","20.86","414.19","-0.36","3","69","63.75","73.57","41.58","N/A","-8.3","1.84","7.54","4228859","2.68"
"WMB","2/21/18","32.00","32.69","24540","16.18","-1.88","2160","0.20","4","185","44.64","40.00","2.68","36.10","26.9","3.22","21.52","4833005","2.33"
"WMT","2/20/18","99.45","100.13","287690","4.75","3.07","134950","1.36","2","53","6.86","2.58","6.34","22.25","20","0.59","0.79","7533055","0"
"WYNN","1/25/18","162.52","171.06","16960","168.34","18.09","1540","1.34","2","52","26.07","58.01","21.74","25.19","14.1","2.85","2.11","1195087","N/A"
"X","1/30/18","37.49","41.83","5550","131.94","15.56","3060","0.63","3","183","187.95","211.69","47.03","14.24","15.2","0.56","-7.39","8960486","1.64"
"XL","2/7/18","34.44","47.27","8990","0.00","2.45","2730","0.47","5","92","83.00","-220.25","285.63","9.35","-28.5","0.77","0.00","1757453","0"
"XLNX","1/24/18","69.24","75.14","17080","21.85","7.57","630.02","0.63","3","107","20.00","11.79","9.96","26.17","26.2","7.01","0.22","1618488","3.19"
"XOM","1/30/18","86.70","91.12","351260","12.70","19.62","72990","1.01","3","20","20.71","54.60","14.63","20.25","23","1.42","-1.16","9816818","3.79"
"XRX","1/30/18","29.33","34.13","7460","-6.00","-3.26","2640","0.94","3","178","18.33","-4.12","-2.07","8.89","23.7","0.73","0.00","1793943","2.2"
"YHOO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"YRCW","2/5/18","14.71","15.79","466.58","121.74","6.22","1220","0.05","3","59","87.14","-93.08","3137.11","10.29","42","0.1","0.00","431865","2.91"
"YUM","2/8/18","81.53","84.29","27650","0.76","-20.58","1610","0.80","3","229","3.59","14.69","13.23","25.65","21.2","4.35","-2.43","1393003","2.62"
"ZION","1/22/18","50.64","52.20","9830","22.95","10.13","670.35","0.74","2","13","16.80","40.83","12.98","16.01","18.1","3.8","-1.31","1766246","7.69"
"ZNGA","2/8/18","4.02","4.34","3480","214.29","6.39","214.40","0.02","1","52","N/A","564.29","36.92","30.83","14.1","4.17","0.00","6843547","1.7"
